Page URL,Structured data,Field,Issue description,Discovered
https://www.caoptical.com/amelia-gray-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-gray-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-orange-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-orange-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-pink-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-pink-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-purple-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/amelia-purple-prescription-sports-goggles-for-kids-bendable-impact-resistant-youth-soccer-football-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/arvada-clip-on-prescription-sunglasses-gun/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/arvada-clip-on-prescription-sunglasses-gun/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-black-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-black-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-blue-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-blue-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-green-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-green-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-grey-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-grey-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-purple-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-purple-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-white-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/atlas-prescription-sports-goggles-white-interchangeable-temple-arms-and-headband-soccer-basketball-baseball-glasses/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/augustus-brown-polarized-clip-on/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/augustus-brown-polarized-clip-on/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aurelius-black-polarized-clip-on/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aurelius-black-polarized-clip-on/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/beacon-eyeglasses-black/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/beacon-eyeglasses-black/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/beacon-eyeglasses-orange/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/beacon-eyeglasses-orange/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/beacon-eyeglasses-red/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
